review_tokens_stemmed,Sentimen,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
kecewa banget pesan free pouch kirim cotton pad kaget pas unboxing untung video segera kabarin customer servicenya suruh isi googleform kirim ulang pouchnya hari enggak kabar akhir tanya kabar kalau stock pouch nyata habis padahal baik baik sabar ikut prosedur customer service pikir positif nyata begini cara,Negatif,"{'classified_text': 'kecewa [-4] banget pesan free pouch kirim cotton pad kaget pas unboxing untung video segera kabarin customer servicenya suruh isi googleform kirim ulang pouchnya hari enggak kabar akhir tanya kabar kalau stock pouch nyata habis padahal baik [4] baik [5] sabar [5] ikut prosedur customer service pikir positif [4] nyata begini cara', 'tweet_text': ' kecewa banget pesan free pouch kirim cotton pad kaget pas unboxing untung video segera kabarin customer servicenya suruh isi googleform kirim ulang pouchnya hari enggak kabar akhir tanya kabar kalau stock pouch nyata habis padahal baik baik sabar ikut prosedur customer service pikir positif nyata begini cara', 'sentence_score': ['kecewa [-4] banget pesan free pouch kirim cotton pad kaget pas unboxing untung video segera kabarin customer servicenya suruh isi googleform kirim ulang pouchnya hari enggak kabar akhir tanya kabar kalau stock pouch nyata habis padahal baik [4] baik [5] sabar [5] ikut prosedur customer service pikir positif [4] nyata begini cara'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}",kecewa [-4] banget pesan free pouch kirim cotton pad kaget pas unboxing untung video segera kabarin customer servicenya suruh isi googleform kirim ulang pouchnya hari enggak kabar akhir tanya kabar kalau stock pouch nyata habis padahal baik [4] baik [5] sabar [5] ikut prosedur customer service pikir positif [4] nyata begini cara, kecewa banget pesan free pouch kirim cotton pad kaget pas unboxing untung video segera kabarin customer servicenya suruh isi googleform kirim ulang pouchnya hari enggak kabar akhir tanya kabar kalau stock pouch nyata habis padahal baik baik sabar ikut prosedur customer service pikir positif nyata begini cara,['kecewa [-4] banget pesan free pouch kirim cotton pad kaget pas unboxing untung video segera kabarin customer servicenya suruh isi googleform kirim ulang pouchnya hari enggak kabar akhir tanya kabar kalau stock pouch nyata habis padahal baik [4] baik [5] sabar [5] ikut prosedur customer service pikir positif [4] nyata begini cara'],5,-4,positif
kali emas tidak safe seperti tutup botol tidak kencang toner rembes keluar dus basah memang tidak buat video unboxing selalu dapat produk packaging bagus avoskin kira dus basah hujan pas buka nyata botol kosong moga dapat tanggap avoskin,Negatif,"{'classified_text': 'kali emas [5] tidak safe seperti [1] tutup botol tidak kencang toner rembes keluar [-3] dus basah memang tidak buat video unboxing selalu dapat produk packaging bagus [4] avoskin kira dus basah hujan pas buka nyata botol kosong moga dapat tanggap avoskin', 'tweet_text': ' kali emas tidak safe seperti tutup botol tidak kencang toner rembes keluar dus basah memang tidak buat video unboxing selalu dapat produk packaging bagus avoskin kira dus basah hujan pas buka nyata botol kosong moga dapat tanggap avoskin', 'sentence_score': ['kali emas [5] tidak safe seperti [1] tutup botol tidak kencang toner rembes keluar [-3] dus basah memang tidak buat video unboxing selalu dapat produk packaging bagus [4] avoskin kira dus basah hujan pas buka nyata botol kosong moga dapat tanggap avoskin'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}",kali emas [5] tidak safe seperti [1] tutup botol tidak kencang toner rembes keluar [-3] dus basah memang tidak buat video unboxing selalu dapat produk packaging bagus [4] avoskin kira dus basah hujan pas buka nyata botol kosong moga dapat tanggap avoskin, kali emas tidak safe seperti tutup botol tidak kencang toner rembes keluar dus basah memang tidak buat video unboxing selalu dapat produk packaging bagus avoskin kira dus basah hujan pas buka nyata botol kosong moga dapat tanggap avoskin,['kali emas [5] tidak safe seperti [1] tutup botol tidak kencang toner rembes keluar [-3] dus basah memang tidak buat video unboxing selalu dapat produk packaging bagus [4] avoskin kira dus basah hujan pas buka nyata botol kosong moga dapat tanggap avoskin'],5,-3,positif
paket datang barang pecah return seller ikut komplain proses bagai malah akhir tiba akan pesan selesai terima barang uang lepas seller kecewa sekali jadi trauma beli barang kesini chat seller nanyain barang terima jawab formalitas baru kali belanja barang tidak terima uang tidak mungkin uang enggak berapa cuman respons kecewa mohon improvement lanjut thanks,Negatif,"{'classified_text': 'paket datang barang pecah [-2] return seller ikut komplain proses bagai malah akhir tiba akan pesan selesai terima barang uang lepas seller kecewa [-4] sekali jadi trauma [-4] beli barang kesini chat seller nanyain barang terima jawab formalitas baru kali belanja barang tidak terima uang tidak mungkin uang enggak berapa cuman respons kecewa [-3] mohon [1] improvement lanjut thanks', 'tweet_text': ' paket datang barang pecah return seller ikut komplain proses bagai malah akhir tiba akan pesan selesai terima barang uang lepas seller kecewa sekali jadi trauma beli barang kesini chat seller nanyain barang terima jawab formalitas baru kali belanja barang tidak terima uang tidak mungkin uang enggak berapa cuman respons kecewa mohon improvement lanjut thanks', 'sentence_score': ['paket datang barang pecah [-2] return seller ikut komplain proses bagai malah akhir tiba akan pesan selesai terima barang uang lepas seller kecewa [-4] sekali jadi trauma [-4] beli barang kesini chat seller nanyain barang terima jawab formalitas baru kali belanja barang tidak terima uang tidak mungkin uang enggak berapa cuman respons kecewa [-3] mohon [1] improvement lanjut thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",paket datang barang pecah [-2] return seller ikut komplain proses bagai malah akhir tiba akan pesan selesai terima barang uang lepas seller kecewa [-4] sekali jadi trauma [-4] beli barang kesini chat seller nanyain barang terima jawab formalitas baru kali belanja barang tidak terima uang tidak mungkin uang enggak berapa cuman respons kecewa [-3] mohon [1] improvement lanjut thanks, paket datang barang pecah return seller ikut komplain proses bagai malah akhir tiba akan pesan selesai terima barang uang lepas seller kecewa sekali jadi trauma beli barang kesini chat seller nanyain barang terima jawab formalitas baru kali belanja barang tidak terima uang tidak mungkin uang enggak berapa cuman respons kecewa mohon improvement lanjut thanks,['paket datang barang pecah [-2] return seller ikut komplain proses bagai malah akhir tiba akan pesan selesai terima barang uang lepas seller kecewa [-4] sekali jadi trauma [-4] beli barang kesini chat seller nanyain barang terima jawab formalitas baru kali belanja barang tidak terima uang tidak mungkin uang enggak berapa cuman respons kecewa [-3] mohon [1] improvement lanjut thanks'],1,-1,netral
enggak sabun nya enggak sesuai deskripsi,Negatif,"{'classified_text': 'enggak sabun nya enggak sesuai [-3] deskripsi', 'tweet_text': ' enggak sabun nya enggak sesuai deskripsi', 'sentence_score': ['enggak sabun nya enggak sesuai [-3] deskripsi'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",enggak sabun nya enggak sesuai [-3] deskripsi, enggak sabun nya enggak sesuai deskripsi,['enggak sabun nya enggak sesuai [-3] deskripsi'],1,-3,negatif
enggak sesuai harap,Negatif,"{'classified_text': 'enggak sesuai [-3] harap', 'tweet_text': ' enggak sesuai harap', 'sentence_score': ['enggak sesuai [-3] harap'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",enggak sesuai [-3] harap, enggak sesuai harap,['enggak sesuai [-3] harap'],1,-3,negatif
bagus banget buat kulit oily hilang bruntusan kecil pori,Positif,"{'classified_text': 'bagus [5] banget buat kulit oily hilang [-3] bruntusan kecil [-1] pori', 'tweet_text': ' bagus banget buat kulit oily hilang bruntusan kecil pori', 'sentence_score': ['bagus [5] banget buat kulit oily hilang [-3] bruntusan kecil [-1] pori'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}",bagus [5] banget buat kulit oily hilang [-3] bruntusan kecil [-1] pori, bagus banget buat kulit oily hilang bruntusan kecil pori,['bagus [5] banget buat kulit oily hilang [-3] bruntusan kecil [-1] pori'],5,-3,positif
enggak perlu ragu sih produk worth buy kirim cepat packagingnya super aman thanks seller,Positif,"{'classified_text': 'enggak perlu ragu sih produk worth buy kirim cepat [4] packagingnya super [4] aman [5] thanks seller', 'tweet_text': ' enggak perlu ragu sih produk worth buy kirim cepat packagingnya super aman thanks seller', 'sentence_score': ['enggak perlu ragu sih produk worth buy kirim cepat [4] packagingnya super [4] aman [5] thanks seller'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",enggak perlu ragu sih produk worth buy kirim cepat [4] packagingnya super [4] aman [5] thanks seller, enggak perlu ragu sih produk worth buy kirim cepat packagingnya super aman thanks seller,['enggak perlu ragu sih produk worth buy kirim cepat [4] packagingnya super [4] aman [5] thanks seller'],5,-1,positif
barang terima baik expired lah,Positif,"{'classified_text': 'barang terima baik [4] expired lah', 'tweet_text': ' barang terima baik expired lah', 'sentence_score': ['barang terima baik [4] expired lah'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",barang terima baik [4] expired lah, barang terima baik expired lah,['barang terima baik [4] expired lah'],4,-1,positif
baru coba,Netral,"{'classified_text': 'baru coba', 'tweet_text': ' baru coba', 'sentence_score': ['baru coba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",baru coba, baru coba,['baru coba'],1,-1,netral
mudah mudah cocok reviewnya bagus,Netral,"{'classified_text': 'mudah [3] mudah [4] cocok [4] reviewnya bagus [4]', 'tweet_text': ' mudah mudah cocok reviewnya bagus', 'sentence_score': ['mudah [3] mudah [4] cocok [4] reviewnya bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",mudah [3] mudah [4] cocok [4] reviewnya bagus [4], mudah mudah cocok reviewnya bagus,['mudah [3] mudah [4] cocok [4] reviewnya bagus [4]'],4,-1,positif
