review_tokens_stemmed,Sentimen,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
beautiful package bintang buat safety nya,Positif,"{'classified_text': 'beautiful package bintang buat safety nya', 'tweet_text': ' beautiful package bintang buat safety nya', 'sentence_score': ['beautiful package bintang buat safety nya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",beautiful package bintang buat safety nya, beautiful package bintang buat safety nya,['beautiful package bintang buat safety nya'],1,-1,netral
tipe kulit kering,Netral,"{'classified_text': 'tipe kulit kering', 'tweet_text': ' tipe kulit kering', 'sentence_score': ['tipe kulit kering'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit kering, tipe kulit kering,['tipe kulit kering'],1,-1,netral
kirim lama beda provinsi gapapa packingnya aman banget moga cocok baik kulit aku tipe kulit minyak,Negatif,"{'classified_text': 'kirim lama [-2] beda provinsi gapapa packingnya aman [5] banget moga cocok [3] baik [5] kulit aku tipe kulit minyak', 'tweet_text': ' kirim lama beda provinsi gapapa packingnya aman banget moga cocok baik kulit aku tipe kulit minyak', 'sentence_score': ['kirim lama [-2] beda provinsi gapapa packingnya aman [5] banget moga cocok [3] baik [5] kulit aku tipe kulit minyak'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}",kirim lama [-2] beda provinsi gapapa packingnya aman [5] banget moga cocok [3] baik [5] kulit aku tipe kulit minyak, kirim lama beda provinsi gapapa packingnya aman banget moga cocok baik kulit aku tipe kulit minyak,['kirim lama [-2] beda provinsi gapapa packingnya aman [5] banget moga cocok [3] baik [5] kulit aku tipe kulit minyak'],5,-2,positif
top,Positif,"{'classified_text': 'top [4]', 'tweet_text': ' top', 'sentence_score': ['top [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",top [4], top,['top [4]'],4,-1,positif
tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi masalah kulit kerut masalah kulit jerawat masalah kulit pori besar tipe kulit sensitif,Positif,"{'classified_text': 'tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi masalah [-4] kulit kerut [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi masalah kulit kerut masalah kulit jerawat masalah kulit pori besar tipe kulit sensitif', 'sentence_score': ['tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi masalah [-4] kulit kerut [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] tipe kulit sensitif [-2]'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi masalah [-4] kulit kerut [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] tipe kulit sensitif [-2], tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi masalah kulit kerut masalah kulit jerawat masalah kulit pori besar tipe kulit sensitif,['tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi masalah [-4] kulit kerut [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] tipe kulit sensitif [-2]'],3,-5,negatif
exp,Positif,"{'classified_text': 'exp', 'tweet_text': ' exp', 'sentence_score': ['exp'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",exp, exp,['exp'],1,-1,netral
no review found,Positif,"{'classified_text': 'no review found', 'tweet_text': ' no review found', 'sentence_score': ['no review found'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",no review found, no review found,['no review found'],1,-1,netral
pertama banget dulu sih beli bagus banget muka waktu kemas biru mungkin tahun lalu belum viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen sensasi waktu pakai dulu memang feelnya beda moga ngaruh jerawat suka muncul tiba tiba,Netral,"{'classified_text': 'pertama banget dulu sih beli bagus [5] banget muka waktu kemas biru mungkin tahun lalu belum viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen [4] sensasi [-2] waktu pakai dulu memang feelnya beda moga ngaruh jerawat suka [4] muncul tiba tiba', 'tweet_text': ' pertama banget dulu sih beli bagus banget muka waktu kemas biru mungkin tahun lalu belum viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen sensasi waktu pakai dulu memang feelnya beda moga ngaruh jerawat suka muncul tiba tiba', 'sentence_score': ['pertama banget dulu sih beli bagus [5] banget muka waktu kemas biru mungkin tahun lalu belum viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen [4] sensasi [-2] waktu pakai dulu memang feelnya beda moga ngaruh jerawat suka [4] muncul tiba tiba'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}",pertama banget dulu sih beli bagus [5] banget muka waktu kemas biru mungkin tahun lalu belum viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen [4] sensasi [-2] waktu pakai dulu memang feelnya beda moga ngaruh jerawat suka [4] muncul tiba tiba, pertama banget dulu sih beli bagus banget muka waktu kemas biru mungkin tahun lalu belum viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen sensasi waktu pakai dulu memang feelnya beda moga ngaruh jerawat suka muncul tiba tiba,['pertama banget dulu sih beli bagus [5] banget muka waktu kemas biru mungkin tahun lalu belum viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen [4] sensasi [-2] waktu pakai dulu memang feelnya beda moga ngaruh jerawat suka [4] muncul tiba tiba'],5,-2,positif
tipe kulit minyak,Netral,"{'classified_text': 'tipe kulit minyak', 'tweet_text': ' tipe kulit minyak', 'sentence_score': ['tipe kulit minyak'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit minyak, tipe kulit minyak,['tipe kulit minyak'],1,-1,netral
tipe kulit minyak masalah kulit pori besar,Netral,"{'classified_text': 'tipe kulit minyak masalah [-4] kulit pori besar [3]', 'tweet_text': ' tipe kulit minyak masalah kulit pori besar', 'sentence_score': ['tipe kulit minyak masalah [-4] kulit pori besar [3]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}",tipe kulit minyak masalah [-4] kulit pori besar [3], tipe kulit minyak masalah kulit pori besar,['tipe kulit minyak masalah [-4] kulit pori besar [3]'],3,-4,negatif
tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi masalah kulit jerawat masalah kulit kerut masalah kulit pori besar tipe kulit sensitif,Positif,"{'classified_text': 'tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi masalah [-4] kulit jerawat masalah [-4] kulit kerut [-2] masalah [-5] kulit pori besar [3] tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi masalah kulit jerawat masalah kulit kerut masalah kulit pori besar tipe kulit sensitif', 'sentence_score': ['tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi masalah [-4] kulit jerawat masalah [-4] kulit kerut [-2] masalah [-5] kulit pori besar [3] tipe kulit sensitif [-2]'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi masalah [-4] kulit jerawat masalah [-4] kulit kerut [-2] masalah [-5] kulit pori besar [3] tipe kulit sensitif [-2], tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi masalah kulit jerawat masalah kulit kerut masalah kulit pori besar tipe kulit sensitif,['tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi masalah [-4] kulit jerawat masalah [-4] kulit kerut [-2] masalah [-5] kulit pori besar [3] tipe kulit sensitif [-2]'],3,-5,negatif
barang sesuai pesan,Positif,"{'classified_text': 'barang sesuai [3] pesan', 'tweet_text': ' barang sesuai pesan', 'sentence_score': ['barang sesuai [3] pesan'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",barang sesuai [3] pesan, barang sesuai pesan,['barang sesuai [3] pesan'],3,-1,positif
kirim oke saran facial wash nya mungkin perlu tambah fragrance biar bau lebih enak soal bau kurang nyaman guna,Positif,"{'classified_text': 'kirim oke [3] saran facial wash nya mungkin perlu tambah fragrance biar bau [-5] lebih enak [5] soal bau [-2] kurang [-2] nyaman [2] guna', 'tweet_text': ' kirim oke saran facial wash nya mungkin perlu tambah fragrance biar bau lebih enak soal bau kurang nyaman guna', 'sentence_score': ['kirim oke [3] saran facial wash nya mungkin perlu tambah fragrance biar bau [-5] lebih enak [5] soal bau [-2] kurang [-2] nyaman [2] guna'], 'max_positive': 5, 'max_negative': -5, 'kelas': 'netral'}",kirim oke [3] saran facial wash nya mungkin perlu tambah fragrance biar bau [-5] lebih enak [5] soal bau [-2] kurang [-2] nyaman [2] guna, kirim oke saran facial wash nya mungkin perlu tambah fragrance biar bau lebih enak soal bau kurang nyaman guna,['kirim oke [3] saran facial wash nya mungkin perlu tambah fragrance biar bau [-5] lebih enak [5] soal bau [-2] kurang [-2] nyaman [2] guna'],5,-5,netral
moga cocok soal dulu cocok banget pakai,Positif,"{'classified_text': 'moga cocok [3] soal dulu cocok [4] banget pakai', 'tweet_text': ' moga cocok soal dulu cocok banget pakai', 'sentence_score': ['moga cocok [3] soal dulu cocok [4] banget pakai'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",moga cocok [3] soal dulu cocok [4] banget pakai, moga cocok soal dulu cocok banget pakai,['moga cocok [3] soal dulu cocok [4] banget pakai'],4,-1,positif
kirim cepat mantap,Netral,"{'classified_text': 'kirim cepat [4] mantap [5]', 'tweet_text': ' kirim cepat mantap', 'sentence_score': ['kirim cepat [4] mantap [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",kirim cepat [4] mantap [5], kirim cepat mantap,['kirim cepat [4] mantap [5]'],5,-1,positif
alhamdulillah barang emas barang thank you kurir sicepat team avoskin,Negatif,"{'classified_text': 'alhamdulillah barang emas [4] barang thank you kurir sicepat team avoskin', 'tweet_text': ' alhamdulillah barang emas barang thank you kurir sicepat team avoskin', 'sentence_score': ['alhamdulillah barang emas [4] barang thank you kurir sicepat team avoskin'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",alhamdulillah barang emas [4] barang thank you kurir sicepat team avoskin, alhamdulillah barang emas barang thank you kurir sicepat team avoskin,['alhamdulillah barang emas [4] barang thank you kurir sicepat team avoskin'],4,-1,positif
bahan gampang serap,Netral,"{'classified_text': 'bahan gampang serap', 'tweet_text': ' bahan gampang serap', 'sentence_score': ['bahan gampang serap'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",bahan gampang serap, bahan gampang serap,['bahan gampang serap'],1,-1,netral
bagus,Netral,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4], bagus,['bagus [4]'],4,-1,positif
bagus,Netral,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4], bagus,['bagus [4]'],4,-1,positif
