review_tokens_SR,Sentimen,sentimen
kecewa banget pesan free pouch dikirimnya cotton pad kaget pas unboxing untung videokan segera kabarin customer servicenya disuruh isi googleform dikirimkan ulang pouchnya hari enggak kabar akhirnya tanya dikabari kalau stock pouch ternyata habis padahal baik baik sabar mengikuti prosedur customer service berpikiran positif ternyata begini caranya,Negatif,"{'classified_text': 'kecewa [-4] banget pesan free pouch dikirimnya cotton pad kaget pas unboxing untung videokan segera kabarin customer servicenya disuruh isi googleform dikirimkan ulang pouchnya hari enggak kabar akhirnya tanya dikabari kalau stock pouch ternyata habis padahal baik [4] baik [5] sabar [5] mengikuti prosedur customer service berpikiran positif [4] ternyata begini caranya', 'tweet_text': ' kecewa banget pesan free pouch dikirimnya cotton pad kaget pas unboxing untung videokan segera kabarin customer servicenya disuruh isi googleform dikirimkan ulang pouchnya hari enggak kabar akhirnya tanya dikabari kalau stock pouch ternyata habis padahal baik baik sabar mengikuti prosedur customer service berpikiran positif ternyata begini caranya', 'sentence_score': ['kecewa [-4] banget pesan free pouch dikirimnya cotton pad kaget pas unboxing untung videokan segera kabarin customer servicenya disuruh isi googleform dikirimkan ulang pouchnya hari enggak kabar akhirnya tanya dikabari kalau stock pouch ternyata habis padahal baik [4] baik [5] sabar [5] mengikuti prosedur customer service berpikiran positif [4] ternyata begini caranya'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}"
kali pengemasan safe sepertinya tutup botol kencang toner merembes keluar dus basah memang membuat video unboxing selalu mendapat produk packaging bagus avoskin kira dus basah hujan pas dibuka ternyata botol kosong semoga mendapat tanggapan avoskin,Negatif,"{'classified_text': 'kali pengemasan safe sepertinya tutup botol kencang toner merembes keluar [-3] dus basah memang membuat video unboxing selalu mendapat produk packaging bagus [4] avoskin kira dus basah hujan pas dibuka ternyata botol kosong semoga mendapat tanggapan avoskin', 'tweet_text': ' kali pengemasan safe sepertinya tutup botol kencang toner merembes keluar dus basah memang membuat video unboxing selalu mendapat produk packaging bagus avoskin kira dus basah hujan pas dibuka ternyata botol kosong semoga mendapat tanggapan avoskin', 'sentence_score': ['kali pengemasan safe sepertinya tutup botol kencang toner merembes keluar [-3] dus basah memang membuat video unboxing selalu mendapat produk packaging bagus [4] avoskin kira dus basah hujan pas dibuka ternyata botol kosong semoga mendapat tanggapan avoskin'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}"
paket datangnya barang pecah return seller ikuti komplain proses sebagainya malah akhirnya tiba seakan pesanan selesai terima barang uangnya dilepas seller kecewa sekali jadi trauma beli barang kesini chat seller nanyain barang diterima dijawab formalitas baru kali belanja barang diterima uang mungkin uangnya enggak seberapa cuman responsnya mengecewakan mohon improvement selanjutnya thanks,Negatif,"{'classified_text': 'paket datangnya barang pecah [-2] return seller ikuti komplain proses sebagainya malah akhirnya tiba seakan pesanan selesai terima barang uangnya dilepas seller kecewa [-4] sekali jadi trauma [-4] beli barang kesini chat seller nanyain barang diterima dijawab formalitas baru kali belanja barang diterima uang mungkin uangnya enggak seberapa cuman responsnya mengecewakan [-4] mohon [1] improvement selanjutnya thanks', 'tweet_text': ' paket datangnya barang pecah return seller ikuti komplain proses sebagainya malah akhirnya tiba seakan pesanan selesai terima barang uangnya dilepas seller kecewa sekali jadi trauma beli barang kesini chat seller nanyain barang diterima dijawab formalitas baru kali belanja barang diterima uang mungkin uangnya enggak seberapa cuman responsnya mengecewakan mohon improvement selanjutnya thanks', 'sentence_score': ['paket datangnya barang pecah [-2] return seller ikuti komplain proses sebagainya malah akhirnya tiba seakan pesanan selesai terima barang uangnya dilepas seller kecewa [-4] sekali jadi trauma [-4] beli barang kesini chat seller nanyain barang diterima dijawab formalitas baru kali belanja barang diterima uang mungkin uangnya enggak seberapa cuman responsnya mengecewakan [-4] mohon [1] improvement selanjutnya thanks'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
enggak sabun nya enggak sesuai deskripsi,Negatif,"{'classified_text': 'enggak sabun nya enggak sesuai [-3] deskripsi', 'tweet_text': ' enggak sabun nya enggak sesuai deskripsi', 'sentence_score': ['enggak sabun nya enggak sesuai [-3] deskripsi'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
enggak sesuai harapan,Negatif,"{'classified_text': 'enggak sesuai [-3] harapan [4]', 'tweet_text': ' enggak sesuai harapan', 'sentence_score': ['enggak sesuai [-3] harapan [4]'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}"
bagus banget buat kulit oily menghilangkan bruntusan mengecilkan pori,Positif,"{'classified_text': 'bagus [5] banget buat kulit oily menghilangkan [-3] bruntusan mengecilkan pori', 'tweet_text': ' bagus banget buat kulit oily menghilangkan bruntusan mengecilkan pori', 'sentence_score': ['bagus [5] banget buat kulit oily menghilangkan [-3] bruntusan mengecilkan pori'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}"
enggak perlu diragukan sih produk worth buy pengiriman cepat packagingnya super aman thanks seller,Positif,"{'classified_text': 'enggak perlu diragukan [-3] sih produk worth buy pengiriman cepat [4] packagingnya super [4] aman [5] thanks seller', 'tweet_text': ' enggak perlu diragukan sih produk worth buy pengiriman cepat packagingnya super aman thanks seller', 'sentence_score': ['enggak perlu diragukan [-3] sih produk worth buy pengiriman cepat [4] packagingnya super [4] aman [5] thanks seller'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}"
barang diterima baik expired lah,Positif,"{'classified_text': 'barang diterima baik [4] expired lah', 'tweet_text': ' barang diterima baik expired lah', 'sentence_score': ['barang diterima baik [4] expired lah'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
baru mencoba,Netral,"{'classified_text': 'baru mencoba', 'tweet_text': ' baru mencoba', 'sentence_score': ['baru mencoba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
mudah mudahan cocok reviewnya bagus,Netral,"{'classified_text': 'mudah [3] mudahan cocok [3] reviewnya bagus [4]', 'tweet_text': ' mudah mudahan cocok reviewnya bagus', 'sentence_score': ['mudah [3] mudahan cocok [3] reviewnya bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
