review_tokens_stemmed,Sentimen,sentimen
beautiful package bintang buat safety nya,Positif,"{'classified_text': 'beautiful package bintang buat safety nya', 'tweet_text': ' beautiful package bintang buat safety nya', 'sentence_score': ['beautiful package bintang buat safety nya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
tipe kulit kering,Netral,"{'classified_text': 'tipe kulit kering', 'tweet_text': ' tipe kulit kering', 'sentence_score': ['tipe kulit kering'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
kirim lama beda provinsi gapapa packingnya aman banget moga cocok baik kulit aku tipe kulit minyak,Negatif,"{'classified_text': 'kirim lama [-2] beda provinsi gapapa packingnya aman [5] banget moga cocok [3] baik [5] kulit aku tipe kulit minyak', 'tweet_text': ' kirim lama beda provinsi gapapa packingnya aman banget moga cocok baik kulit aku tipe kulit minyak', 'sentence_score': ['kirim lama [-2] beda provinsi gapapa packingnya aman [5] banget moga cocok [3] baik [5] kulit aku tipe kulit minyak'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}"
top,Positif,"{'classified_text': 'top [4]', 'tweet_text': ' top', 'sentence_score': ['top [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi masalah kulit kerut masalah kulit jerawat masalah kulit pori besar tipe kulit sensitif,Positif,"{'classified_text': 'tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi masalah [-4] kulit kerut [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi masalah kulit kerut masalah kulit jerawat masalah kulit pori besar tipe kulit sensitif', 'sentence_score': ['tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi masalah [-4] kulit kerut [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] tipe kulit sensitif [-2]'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}"
exp,Positif,"{'classified_text': 'exp', 'tweet_text': ' exp', 'sentence_score': ['exp'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
no review found,Positif,"{'classified_text': 'no review found', 'tweet_text': ' no review found', 'sentence_score': ['no review found'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pertama banget dulu sih beli bagus banget muka waktu kemas biru mungkin tahun lalu belum viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen sensasi waktu pakai dulu memang feelnya beda moga ngaruh jerawat suka muncul tiba tiba,Netral,"{'classified_text': 'pertama banget dulu sih beli bagus [5] banget muka waktu kemas biru mungkin tahun lalu belum viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen [4] sensasi [-2] waktu pakai dulu memang feelnya beda moga ngaruh jerawat suka [4] muncul tiba tiba', 'tweet_text': ' pertama banget dulu sih beli bagus banget muka waktu kemas biru mungkin tahun lalu belum viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen sensasi waktu pakai dulu memang feelnya beda moga ngaruh jerawat suka muncul tiba tiba', 'sentence_score': ['pertama banget dulu sih beli bagus [5] banget muka waktu kemas biru mungkin tahun lalu belum viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen [4] sensasi [-2] waktu pakai dulu memang feelnya beda moga ngaruh jerawat suka [4] muncul tiba tiba'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}"
tipe kulit minyak,Netral,"{'classified_text': 'tipe kulit minyak', 'tweet_text': ' tipe kulit minyak', 'sentence_score': ['tipe kulit minyak'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
tipe kulit minyak masalah kulit pori besar,Netral,"{'classified_text': 'tipe kulit minyak masalah [-4] kulit pori besar [3]', 'tweet_text': ' tipe kulit minyak masalah kulit pori besar', 'sentence_score': ['tipe kulit minyak masalah [-4] kulit pori besar [3]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi masalah kulit jerawat masalah kulit kerut masalah kulit pori besar tipe kulit sensitif,Positif,"{'classified_text': 'tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi masalah [-4] kulit jerawat masalah [-4] kulit kerut [-2] masalah [-5] kulit pori besar [3] tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi masalah kulit jerawat masalah kulit kerut masalah kulit pori besar tipe kulit sensitif', 'sentence_score': ['tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi masalah [-4] kulit jerawat masalah [-4] kulit kerut [-2] masalah [-5] kulit pori besar [3] tipe kulit sensitif [-2]'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}"
barang sesuai pesan,Positif,"{'classified_text': 'barang sesuai [3] pesan', 'tweet_text': ' barang sesuai pesan', 'sentence_score': ['barang sesuai [3] pesan'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
kirim oke saran facial wash nya mungkin perlu tambah fragrance biar bau lebih enak soal bau kurang nyaman guna,Positif,"{'classified_text': 'kirim oke [3] saran facial wash nya mungkin perlu tambah fragrance biar bau [-5] lebih enak [5] soal bau [-2] kurang [-2] nyaman [2] guna', 'tweet_text': ' kirim oke saran facial wash nya mungkin perlu tambah fragrance biar bau lebih enak soal bau kurang nyaman guna', 'sentence_score': ['kirim oke [3] saran facial wash nya mungkin perlu tambah fragrance biar bau [-5] lebih enak [5] soal bau [-2] kurang [-2] nyaman [2] guna'], 'max_positive': 5, 'max_negative': -5, 'kelas': 'netral'}"
moga cocok soal dulu cocok banget pakai,Positif,"{'classified_text': 'moga cocok [3] soal dulu cocok [4] banget pakai', 'tweet_text': ' moga cocok soal dulu cocok banget pakai', 'sentence_score': ['moga cocok [3] soal dulu cocok [4] banget pakai'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
kirim cepat mantap,Netral,"{'classified_text': 'kirim cepat [4] mantap [5]', 'tweet_text': ' kirim cepat mantap', 'sentence_score': ['kirim cepat [4] mantap [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
alhamdulillah barang emas barang thank you kurir sicepat team avoskin,Negatif,"{'classified_text': 'alhamdulillah barang emas [4] barang thank you kurir sicepat team avoskin', 'tweet_text': ' alhamdulillah barang emas barang thank you kurir sicepat team avoskin', 'sentence_score': ['alhamdulillah barang emas [4] barang thank you kurir sicepat team avoskin'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bahan gampang serap,Netral,"{'classified_text': 'bahan gampang serap', 'tweet_text': ' bahan gampang serap', 'sentence_score': ['bahan gampang serap'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
bagus,Netral,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bagus,Netral,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
oke,Negatif,"{'classified_text': 'oke [3]', 'tweet_text': ' oke', 'sentence_score': ['oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
gratis mini pouch terima kasih moga cocok,Netral,"{'classified_text': 'gratis mini pouch terima kasih [4] moga cocok [3]', 'tweet_text': ' gratis mini pouch terima kasih moga cocok', 'sentence_score': ['gratis mini pouch terima kasih [4] moga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
alhamdulillah barang moga cocok selau harga diskon yes,Negatif,"{'classified_text': 'alhamdulillah barang moga cocok [3] selau harga diskon yes', 'tweet_text': ' alhamdulillah barang moga cocok selau harga diskon yes', 'sentence_score': ['alhamdulillah barang moga cocok [3] selau harga diskon yes'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
cocok sama produk,Positif,"{'classified_text': 'cocok [3] sama produk', 'tweet_text': ' cocok sama produk', 'sentence_score': ['cocok [3] sama produk'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
kali kali beli toko official kali beli selalu amanah thanks,Positif,"{'classified_text': 'kali kali beli toko official kali beli selalu amanah thanks', 'tweet_text': ' kali kali beli toko official kali beli selalu amanah thanks', 'sentence_score': ['kali kali beli toko official kali beli selalu amanah thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
barang nya oke,Positif,"{'classified_text': 'barang nya oke [3]', 'tweet_text': ' barang nya oke', 'sentence_score': ['barang nya oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
repeat order,Netral,"{'classified_text': 'repeat order', 'tweet_text': ' repeat order', 'sentence_score': ['repeat order'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
masalah kulit pori besar,Negatif,"{'classified_text': 'masalah [-4] kulit pori besar [3]', 'tweet_text': ' masalah kulit pori besar', 'sentence_score': ['masalah [-4] kulit pori besar [3]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
beda nih pertama beli first time coba jatuh cinta banget waktu pilih shade strawberrypine sama raspberry muffin terus beli dua rasa formula beda banget lebih minyak short lasting masa iya habis minum air hilang lah coba rugi dong sudah aku pindah haluan byeee,Negatif,"{'classified_text': 'beda nih pertama beli first time coba jatuh [-3] cinta [6] banget waktu pilih shade strawberrypine sama raspberry muffin terus beli dua rasa formula beda banget lebih minyak short lasting masa iya habis minum air hilang [-3] lah coba rugi [-4] dong sudah aku pindah haluan bye', 'tweet_text': ' beda nih pertama beli first time coba jatuh cinta banget waktu pilih shade strawberrypine sama raspberry muffin terus beli dua rasa formula beda banget lebih minyak short lasting masa iya habis minum air hilang lah coba rugi dong sudah aku pindah haluan bye', 'sentence_score': ['beda nih pertama beli first time coba jatuh [-3] cinta [6] banget waktu pilih shade strawberrypine sama raspberry muffin terus beli dua rasa formula beda banget lebih minyak short lasting masa iya habis minum air hilang [-3] lah coba rugi [-4] dong sudah aku pindah haluan bye'], 'max_positive': 6, 'max_negative': -4, 'kelas': 'positif'}"
tipe kulit minyak tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar overall worth,Netral,"{'classified_text': 'tipe kulit minyak tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] overall worth', 'tweet_text': ' tipe kulit minyak tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar overall worth', 'sentence_score': ['tipe kulit minyak tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] overall worth'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}"
