review_tokens,Sentimen,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
kecewa banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari enggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik baik dan sabar mengikuti prosedur dari customer service karena masih berpikiran positif ternyata begini caranya ya,Negatif,"{'classified_text': 'kecewa [-4] banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari enggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik [4] baik [5] dan sabar [4] mengikuti prosedur dari customer service karena masih berpikiran positif [4] ternyata begini caranya ya', 'tweet_text': ' kecewa banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari enggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik baik dan sabar mengikuti prosedur dari customer service karena masih berpikiran positif ternyata begini caranya ya', 'sentence_score': ['kecewa [-4] banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari enggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik [4] baik [5] dan sabar [4] mengikuti prosedur dari customer service karena masih berpikiran positif [4] ternyata begini caranya ya'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}",kecewa [-4] banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari enggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik [4] baik [5] dan sabar [4] mengikuti prosedur dari customer service karena masih berpikiran positif [4] ternyata begini caranya ya, kecewa banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari enggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik baik dan sabar mengikuti prosedur dari customer service karena masih berpikiran positif ternyata begini caranya ya,['kecewa [-4] banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari enggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik [4] baik [5] dan sabar [4] mengikuti prosedur dari customer service karena masih berpikiran positif [4] ternyata begini caranya ya'],5,-4,positif
kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar sampai dus basah saya memang tidak membuat video unboxing karena saya selalu mendapat produk dan packaging yang bagus dari avoskin saya kira dus basah karena hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin,Negatif,"{'classified_text': 'kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar [-3] sampai dus basah saya memang tidak membuat video unboxing karena saya selalu mendapat produk dan packaging yang bagus [4] dari avoskin saya kira dus basah karena hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin', 'tweet_text': ' kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar sampai dus basah saya memang tidak membuat video unboxing karena saya selalu mendapat produk dan packaging yang bagus dari avoskin saya kira dus basah karena hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin', 'sentence_score': ['kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar [-3] sampai dus basah saya memang tidak membuat video unboxing karena saya selalu mendapat produk dan packaging yang bagus [4] dari avoskin saya kira dus basah karena hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}",kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar [-3] sampai dus basah saya memang tidak membuat video unboxing karena saya selalu mendapat produk dan packaging yang bagus [4] dari avoskin saya kira dus basah karena hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin, kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar sampai dus basah saya memang tidak membuat video unboxing karena saya selalu mendapat produk dan packaging yang bagus dari avoskin saya kira dus basah karena hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin,['kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar [-3] sampai dus basah saya memang tidak membuat video unboxing karena saya selalu mendapat produk dan packaging yang bagus [4] dari avoskin saya kira dus basah karena hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin'],4,-3,positif
paket datangnya barang sudah pecah dan saya return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai saya terima barang dan uangnya dilepas ke seller saya kecewa sekali dan jadi agak trauma untuk beli barang kesini chat seller untuk nanyain barang sudah diterima tapi dijawab formalitas saja baru kali ini saya belanja barang tidak diterima tapi uang tidak kembali mungkin uangnya enggak seberapa cuman karena responsnya yang mengecewakan mohon improvement untuk selanjutnya thanks,Negatif,"{'classified_text': 'paket datangnya barang sudah pecah [-2] dan saya return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai saya terima barang dan uangnya dilepas ke seller saya kecewa [-4] sekali dan jadi agak trauma [-3] untuk beli barang kesini chat seller untuk nanyain barang sudah diterima tapi dijawab formalitas saja baru kali ini saya belanja barang tidak diterima tapi uang tidak kembali mungkin uangnya enggak seberapa cuman karena responsnya yang mengecewakan [-4] mohon [1] improvement untuk selanjutnya thanks', 'tweet_text': ' paket datangnya barang sudah pecah dan saya return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai saya terima barang dan uangnya dilepas ke seller saya kecewa sekali dan jadi agak trauma untuk beli barang kesini chat seller untuk nanyain barang sudah diterima tapi dijawab formalitas saja baru kali ini saya belanja barang tidak diterima tapi uang tidak kembali mungkin uangnya enggak seberapa cuman karena responsnya yang mengecewakan mohon improvement untuk selanjutnya thanks', 'sentence_score': ['paket datangnya barang sudah pecah [-2] dan saya return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai saya terima barang dan uangnya dilepas ke seller saya kecewa [-4] sekali dan jadi agak trauma [-3] untuk beli barang kesini chat seller untuk nanyain barang sudah diterima tapi dijawab formalitas saja baru kali ini saya belanja barang tidak diterima tapi uang tidak kembali mungkin uangnya enggak seberapa cuman karena responsnya yang mengecewakan [-4] mohon [1] improvement untuk selanjutnya thanks'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",paket datangnya barang sudah pecah [-2] dan saya return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai saya terima barang dan uangnya dilepas ke seller saya kecewa [-4] sekali dan jadi agak trauma [-3] untuk beli barang kesini chat seller untuk nanyain barang sudah diterima tapi dijawab formalitas saja baru kali ini saya belanja barang tidak diterima tapi uang tidak kembali mungkin uangnya enggak seberapa cuman karena responsnya yang mengecewakan [-4] mohon [1] improvement untuk selanjutnya thanks, paket datangnya barang sudah pecah dan saya return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai saya terima barang dan uangnya dilepas ke seller saya kecewa sekali dan jadi agak trauma untuk beli barang kesini chat seller untuk nanyain barang sudah diterima tapi dijawab formalitas saja baru kali ini saya belanja barang tidak diterima tapi uang tidak kembali mungkin uangnya enggak seberapa cuman karena responsnya yang mengecewakan mohon improvement untuk selanjutnya thanks,['paket datangnya barang sudah pecah [-2] dan saya return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai saya terima barang dan uangnya dilepas ke seller saya kecewa [-4] sekali dan jadi agak trauma [-3] untuk beli barang kesini chat seller untuk nanyain barang sudah diterima tapi dijawab formalitas saja baru kali ini saya belanja barang tidak diterima tapi uang tidak kembali mungkin uangnya enggak seberapa cuman karena responsnya yang mengecewakan [-4] mohon [1] improvement untuk selanjutnya thanks'],1,-4,negatif
enggak ada sabun nya enggak sesuai deskripsi,Negatif,"{'classified_text': 'enggak ada sabun nya enggak sesuai [-3] deskripsi', 'tweet_text': ' enggak ada sabun nya enggak sesuai deskripsi', 'sentence_score': ['enggak ada sabun nya enggak sesuai [-3] deskripsi'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",enggak ada sabun nya enggak sesuai [-3] deskripsi, enggak ada sabun nya enggak sesuai deskripsi,['enggak ada sabun nya enggak sesuai [-3] deskripsi'],1,-3,negatif
enggak sesuai harapan,Negatif,"{'classified_text': 'enggak sesuai [-3] harapan [4]', 'tweet_text': ' enggak sesuai harapan', 'sentence_score': ['enggak sesuai [-3] harapan [4]'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}",enggak sesuai [-3] harapan [4], enggak sesuai harapan,['enggak sesuai [-3] harapan [4]'],4,-3,positif
bagus banget buat kulit oily menghilangkan bruntusan dan mengecilkan pori,Positif,"{'classified_text': 'bagus [5] banget buat kulit oily menghilangkan [-3] bruntusan dan mengecilkan pori', 'tweet_text': ' bagus banget buat kulit oily menghilangkan bruntusan dan mengecilkan pori', 'sentence_score': ['bagus [5] banget buat kulit oily menghilangkan [-3] bruntusan dan mengecilkan pori'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}",bagus [5] banget buat kulit oily menghilangkan [-3] bruntusan dan mengecilkan pori, bagus banget buat kulit oily menghilangkan bruntusan dan mengecilkan pori,['bagus [5] banget buat kulit oily menghilangkan [-3] bruntusan dan mengecilkan pori'],5,-3,positif
enggak perlu diragukan lagi sih ini produk worth tapi buy pengiriman cepat packagingnya yang super aman thanks seller,Positif,"{'classified_text': 'enggak perlu diragukan [-3] lagi sih ini produk worth tapi buy pengiriman cepat [4] packagingnya yang super [4] aman [5] thanks seller', 'tweet_text': ' enggak perlu diragukan lagi sih ini produk worth tapi buy pengiriman cepat packagingnya yang super aman thanks seller', 'sentence_score': ['enggak perlu diragukan [-3] lagi sih ini produk worth tapi buy pengiriman cepat [4] packagingnya yang super [4] aman [5] thanks seller'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}",enggak perlu diragukan [-3] lagi sih ini produk worth tapi buy pengiriman cepat [4] packagingnya yang super [4] aman [5] thanks seller, enggak perlu diragukan lagi sih ini produk worth tapi buy pengiriman cepat packagingnya yang super aman thanks seller,['enggak perlu diragukan [-3] lagi sih ini produk worth tapi buy pengiriman cepat [4] packagingnya yang super [4] aman [5] thanks seller'],5,-3,positif
barang diterima dengan baik dan expired lah,Positif,"{'classified_text': 'barang diterima dengan baik [4] dan expired lah', 'tweet_text': ' barang diterima dengan baik dan expired lah', 'sentence_score': ['barang diterima dengan baik [4] dan expired lah'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",barang diterima dengan baik [4] dan expired lah, barang diterima dengan baik dan expired lah,['barang diterima dengan baik [4] dan expired lah'],4,-1,positif
baru mencoba,Netral,"{'classified_text': 'baru mencoba', 'tweet_text': ' baru mencoba', 'sentence_score': ['baru mencoba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",baru mencoba, baru mencoba,['baru mencoba'],1,-1,netral
mudah mudahan cocok karena reviewnya bagus,Netral,"{'classified_text': 'mudah [3] mudahan cocok [3] karena reviewnya bagus [4]', 'tweet_text': ' mudah mudahan cocok karena reviewnya bagus', 'sentence_score': ['mudah [3] mudahan cocok [3] karena reviewnya bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",mudah [3] mudahan cocok [3] karena reviewnya bagus [4], mudah mudahan cocok karena reviewnya bagus,['mudah [3] mudahan cocok [3] karena reviewnya bagus [4]'],4,-1,positif
